AVG_PRICE,HOURLY_BUCKET
39.30,03-20 22:00
39.82,03-20 23:00
39.60,03-21 00:00
39.83,03-21 01:00
39.53,03-21 07:00
39.08,03-21 08:00
39.48,03-21 09:00
39.89,03-21 10:00
39.64,03-21 11:00
39.46,03-21 12:00
39.68,03-21 13:00
40.55,03-21 14:00
41.33,03-21 15:00
41.50,03-21 16:00
41.17,03-21 17:00
41.29,03-21 18:00
41.07,03-21 19:00
41.57,03-21 20:00
41.12,03-22 00:00
41.85,03-22 07:00
42.08,03-22 08:00
41.36,03-22 09:00
40.72,03-22 10:00
40.50,03-22 11:00
40.03,03-22 12:00
40.18,03-22 13:00
40.33,03-22 14:00
39.76,03-22 15:00
39.52,03-22 16:00
40.31,03-22 17:00
41.06,03-22 18:00
41.48,03-22 19:00
41.55,03-22 20:00
40.99,03-22 21:00
40.74,03-22 22:00
40.44,03-23 00:00
